date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:37	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:37%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=f3c9fbe4d50851a70eb4514689471e4e849b29d2	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexcc1f.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=113)
12:51:37	45455/45455	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:37%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8%3A2mision&catid=2&Itemid=113	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index7e1e.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=113)
12:51:38	45448/45448	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:38%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=212	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexafc4.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=113)
12:51:38	28115/28115	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:38%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=113&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexebb3.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=113)
12:51:38	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:38%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=c31357ec0a9ebe305709ef056edbc131d68ec5f8	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexfdcb.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=8:2mision&catid=2&Itemid=113)
12:51:38	2647/2647	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:38%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=4:ubicacion&catid=2&Itemid=101&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexc37e.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=category&id=2&Itemid=212&limitstart=20)
12:51:38	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:38%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=6ada7055621a56fbbe4c4281c090bf5b544b491f	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index658a.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=category&id=2&Itemid=212&limitstart=20)
12:51:39	3142/3142	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:39%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=3:webmail&catid=2&Itemid=101&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index2ce4.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=category&id=2&Itemid=212&limitstart=20)
12:51:40	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:39%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=6fa7b829782d27e9cc8c693acdd2db3ad8c1b125	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index929c.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=category&id=2&Itemid=212&limitstart=20)
12:51:40	24012/24012	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:40%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=12%3Acontexto&catid=2&Itemid=101	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexff08.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=12:contexto&catid=2&Itemid=101)
